M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.07864960352514258,0.07864960352514258,0.17845571008424305,0.17846460618145563
2,1,0.05628195197654147,0.05628195197654147,0.13902597078909326,0.13903290129611168
2,2,0.037506128358925986,0.037506128358925986,0.10031902696774837,0.10032402791625125
2,3,0.02287840756108534,0.02287840756108534,0.06328198993071132,0.06328514456630109
2,4,0.012500818040737566,0.012500818040737566,0.034145855141817456,0.03414755732801595
2,5,0.005953867147778662,0.005953867147778662,0.018418822591097155,0.018419740777667
2,6,0.002388290780932807,0.002388290780932807,0.008324609939683964,0.008325024925224326
2,7,0.0007726748153784446,0.0007726748153784446,0.00226808234883605,0.0022681954137587237
2,8,0.00019090777407599314,0.00019090777407599314,0.0009969592742136483,0.0009970089730807576
2,9,3.36272284196176e-05,3.36272284196176e-05,0.00014954389113204725,0.00014955134596211366
2,10,3.87210821552205e-06,3.87210821552205e-06,7.477194556602363e-05,7.477334330311244e-05
4,0,0.07864960352514258,0.15729920705028516,0.18378944220128607,0.29835493519441675
4,1,0.05628195197654147,0.11256390395308294,0.1397736902447535,0.2285643070787637
4,2,0.037506128358925986,0.07501225671785197,0.09795124869149095,0.15917248255234298
4,3,0.022878407561085327,0.045756815122170655,0.064353721150491,0.10403788634097706
4,4,0.012500818040737553,0.025001636081475105,0.03833308409351478,0.06076769690927218
4,5,0.005953867147778662,0.011907734295557325,0.01921639001046807,0.030508474576271188
4,6,0.002388290780932807,0.004776581561865614,0.009022481431633518,0.014107676969092722
4,7,0.0007726748153784446,0.0015453496307568891,0.0025173221673894623,0.003838484546360917
4,8,0.00019090777407599314,0.0003818155481519863,0.0008224914012262599,0.0010967098703888335
4,9,3.3627228419617505e-05,6.725445683923501e-05,0.0002990877822640945,0.00039880358923230307
4,10,3.87210821552205e-06,7.7442164310441e-06,7.477194556602363e-05,9.970089730807577e-05
8,0,0.1161878553326204,0.3485635659978612,0.22982403668810128,0.4680723792433079
8,1,0.09763706378539523,0.2929111913561857,0.19378395892527792,0.40010468072379246
8,2,0.07932141777736901,0.23796425333210702,0.15375604406559992,0.31950052340361895
8,3,0.0618251345896678,0.1854754037690034,0.10884302876227506,0.23313892627486169
8,4,0.04579094273467243,0.13737282820401728,0.07429838991077214,0.1601615074024226
8,5,0.03184330336407077,0.0955299100922123,0.04840237276307263,0.10393300433677284
8,6,0.020479923891202897,0.06143977167360869,0.02759084791386272,0.059967100343950946
8,7,0.011952769488034592,0.035858308464103775,0.013483874183739595,0.029759234335277406
8,8,0.006181051750685378,0.018543155252056135,0.006006679627137231,0.013458950201884253
8,9,0.00274813352965267,0.00824440058895801,0.0020686904939933204,0.004635860625093465
8,10,0.0010113953207128911,0.0030341859621386734,0.0006480235282388714,0.0013458950201884253
16,0,0.1452715594824753,0.5810862379299012,0.29699416778824583,0.6595214356929212
16,1,0.13395794547379555,0.5358317818951822,0.26307262848312646,0.5942173479561316
16,2,0.12181498797037182,0.4872599518814873,0.22376750909725338,0.5165503489531406
16,3,0.10893066282228764,0.43572265128915055,0.18658092816908428,0.43270189431704886
16,4,0.0954557764318765,0.381823105727506,0.15178704949902797,0.35782652043868396
16,5,0.08161707600107043,0.32646830400428173,0.1111111111111111,0.271086739780658
16,6,0.06772598480871872,0.2709039392348749,0.08424305867105329,0.20648055832502493
16,7,0.05417752858915559,0.21671011435662235,0.05478291211803998,0.1344965104685942
16,8,0.04143246526197408,0.16572986104789633,0.03663825332735158,0.09212362911266202
16,9,0.02997578947663146,0.11990315790652584,0.023129455161756643,0.059322033898305086
16,10,0.020248789802578354,0.08099515921031342,0.013359254274462887,0.03399800598205384
