M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.15865525393145707,0.15865525393145707,0.16085937889437216,0.16086739780658027
2,1,0.1309272967555245,0.1309272967555245,0.13242111559742784,0.1323778664007976
2,2,0.10402863708538868,0.10402863708538868,0.10527889935696126,0.10528414755732801
2,3,0.07889587198172443,0.07889587198172443,0.0788096306265889,0.07878863409770688
2,4,0.05649530174936167,0.05649530174936167,0.05573002342854294,0.055732801595214355
2,5,0.03767898814746343,0.03767898814746343,0.038283236129804096,0.038285144566301096
2,6,0.023007138877866026,0.023007138877866026,0.023603010817008125,0.02357926221335992
2,7,0.012587033122144622,0.012587033122144622,0.01216290314540651,0.012163509471585244
2,8,0.006004386400163564,0.006004386400163564,0.006206071481979961,0.0062063808574277166
2,9,0.0024133104196338647,0.0024133104196338647,0.0020686904939933204,0.0020687936191425725
2,10,0.000782701129001274,0.000782701129001274,0.0008972633467922835,0.000897308075772682
4,0,0.15729920705028516,0.23594881057542774,0.11990927670604656,0.17916251246261217
4,1,0.11256390395308295,0.16884585592962442,0.08755794825781367,0.1323529411764706
4,2,0.07501225671785197,0.11251838507677796,0.061711779073824836,0.09401794616151546
4,3,0.04575681512217069,0.06863522268325603,0.03668810129106226,0.05613160518444666
4,4,0.025001636081475136,0.0375024541222127,0.021783560141568216,0.031754735792622134
4,5,0.011907734295557325,0.017861601443335987,0.01091670405263945,0.016650049850448653
4,6,0.004776581561865614,0.007164872342798421,0.004660784606948806,0.0071286141575274175
4,7,0.0015453496307568891,0.0023180244461353337,0.0013708190020437665,0.002093718843469591
4,8,0.0003818155481519863,0.0005727233222279795,0.00039878370968545937,0.0005982053838484546
4,9,6.72544568392352e-05,0.0001008816852588528,0.00014954389113204725,0.00014955134596211366
4,10,7.7442164310441e-06,1.1616324646566149e-05,4.984796371068242e-05,4.9850448654037884e-05
8,0,0.16652903332710092,0.2914258083224266,0.09964607945765415,0.17504112457006132
8,1,0.10393739206726713,0.18189043611771746,0.06540052838841533,0.11694332286526095
8,2,0.05843746482897155,0.10226556345070022,0.041971985444394594,0.07282787498130701
8,3,0.02884321382533376,0.05047562419433408,0.022905139325058572,0.03962913114999252
8,4,0.012097919626501445,0.021171359346377528,0.00927172125018693,0.016599371915657246
8,5,0.004139034976656656,0.007243311209149148,0.0037884452420118638,0.006430387318678032
8,6,0.0010969349912884239,0.0019196362347547419,0.0010218832560689895,0.001794526693584567
8,7,0.00021100236207940165,0.0003692541336389529,9.969592742136484e-05,0.00014954389113204725
8,8,2.7138875527143833e-05,4.749303217250171e-05,4.984796371068242e-05,7.477474109245897e-05
8,9,2.1047582928051388e-06,3.683327012408993e-06,2.492398185534121e-05,3.738737054622948e-05
8,10,8.640926115655013e-08,1.5121620702396273e-07,,
16,0,0.18200105558543372,0.34125197922268824,0.09164548128208963,0.17178464606181457
16,1,0.09932010683288067,0.18622520031165127,0.05730023428542944,0.10757726819541376
16,2,0.04722932694924213,0.088554988029829,0.030656497682069687,0.05782652043868395
16,3,0.018907814808751842,0.0354521527664097,0.014106973730123125,0.02761714855433699
16,4,0.006102041736761657,0.011441328256428107,0.004785404516225512,0.008673978065802591
16,5,0.001502977524864667,0.0028180828591212507,0.0013957429838991077,0.0023928215353938185
16,6,0.00026370920793468167,0.0004944547648775281,0.00014954389113204725,0.0002991026919242273
16,7,3.0217057523237596e-05,5.665698285607049e-05,3.738597278301181e-05,4.9850448654037884e-05
16,8,2.0266461781509724e-06,3.7999615840330733e-06,1.090424206171178e-05,1.8692986391505906e-05
16,9,6.930937704253829e-08,1.299550819547593e-07,,
16,10,1.0158514357883427e-09,1.9047214421031425e-09,,
