M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.07864960352514258,0.07864960352514258,0.07484671751158965,0.0748504486540379
2,1,0.05628195197654147,0.05628195197654147,0.056751906684611934,0.056754735792622135
2,2,0.037506128358925986,0.037506128358925986,0.0370121130551817,0.03701395812562313
2,3,0.02287840756108534,0.02287840756108534,0.022780519415781866,0.022781655034895314
2,4,0.012500818040737566,0.012500818040737566,0.012611534818802651,0.012612163509471586
2,5,0.005953867147778662,0.005953867147778662,0.006480235282388715,0.006480558325024925
2,6,0.002388290780932807,0.002388290780932807,0.0025422461492448033,0.002542372881355932
2,7,0.0007726748153784446,0.0007726748153784446,0.0007726434375155775,0.0007726819541375872
2,8,0.00019090777407599314,0.00019090777407599314,0.00024923981855341207,0.0002492522432701894
2,9,3.36272284196176e-05,3.36272284196176e-05,3.115497731917651e-05,3.115555970963018e-05
2,10,3.87210821552205e-06,3.87210821552205e-06,3.1154977319176513e-06,3.115507438274009e-06
4,0,0.07864960352514258,0.15729920705028516,0.08018044962863267,0.1543369890329013
4,1,0.05628195197654147,0.11256390395308294,0.054533672299486566,0.10608175473579262
4,2,0.037506128358925986,0.07501225671785197,0.03823338816609342,0.07472582253240279
4,3,0.022878407561085327,0.045756815122170655,0.022406659687951747,0.04426719840478564
4,4,0.012500818040737553,0.025001636081475105,0.012312447036538558,0.024476570289132603
4,5,0.005953867147778662,0.011907734295557325,0.006330691391256667,0.012662013958125624
4,6,0.002388290780932807,0.004776581561865614,0.0022431583669807087,0.00448654037886341
4,7,0.0007726748153784446,0.0015453496307568891,0.0008224914012262599,0.0016450648055832502
4,8,0.00019090777407599314,0.0003818155481519863,9.969592742136484e-05,0.00019940179461615153
4,9,3.3627228419617505e-05,6.725445683923501e-05,4.984796371068242e-05,9.970089730807577e-05
4,10,3.87210821552205e-06,7.7442164310441e-06,1.8692986391505906e-05,3.7386438692471615e-05
8,0,0.1161878553326204,0.3485635659978612,0.12088131199840486,0.3423059668012562
8,1,0.09763706378539523,0.2929111913561857,0.10036887493145905,0.2898908329594736
8,2,0.07932141777736901,0.23796425333210702,0.08175066048551917,0.240541348885898
8,3,0.0618251345896678,0.1854754037690034,0.06168685509196949,0.1838642141468521
8,4,0.04579094273467243,0.13737282820401728,0.0462090623598026,0.1383280992971437
8,5,0.03184330336407077,0.0955299100922123,0.031852848811126065,0.0955585464333782
8,6,0.020479923891202897,0.06143977167360869,0.020985992722197297,0.06295797816659189
8,7,0.011952769488034592,0.035858308464103775,0.012237675090972533,0.0367130252729176
8,8,0.006181051750685378,0.018543155252056135,0.006330691391256667,0.018992074173770003
8,9,0.00274813352965267,0.00824440058895801,0.002841333931508898,0.008524001794526694
8,10,0.0010113953207128911,0.0030341859621386734,0.001071731219779672,0.003215193659339016
16,0,0.1452715594824753,0.5810862379299012,0.17294751009421266,0.5793619142572283
16,1,0.13395794547379555,0.5358317818951822,0.15343203230148048,0.5370887337986042
16,2,0.12181498797037182,0.4872599518814873,0.13361746672648422,0.48504486540378866
16,3,0.10893066282228764,0.43572265128915055,0.11604605951846866,0.43878364905284145
16,4,0.0954557764318765,0.381823105727506,0.09982054733064154,0.38594217347956133
16,5,0.08161707600107043,0.32646830400428173,0.08299685957828623,0.3267198404785643
16,6,0.06772598480871872,0.2709039392348749,0.06876526593888639,0.2727816550348953
16,7,0.05417752858915559,0.21671011435662235,0.05425950849907781,0.21625124626121636
16,8,0.04143246526197408,0.16572986104789633,0.03992821893225662,0.15952143569292124
16,9,0.02997578947663146,0.11990315790652584,0.029385374607447286,0.11754735792622134
16,10,0.020248789802578354,0.08099515921031342,0.019465629829021485,0.07786640079760718
