mod_scheme,M,ebn0_db,Pb_sim,Pe_sim,Pb_theory,Pe_theory,coded
psk,2,0,0.0793,0.0793,0.07864960352514258,0.15729920705028516,False
psk,2,1,0.05725,0.05725,0.05628195197654147,0.11256390395308294,False
psk,2,2,0.03685,0.03685,0.03750612835892598,0.07501225671785196,False
psk,2,3,0.02288,0.02288,0.022878407561085334,0.04575681512217067,False
psk,2,4,0.01234,0.01234,0.012500818040737566,0.025001636081475133,False
psk,2,5,0.00646,0.00646,0.005953867147778661,0.011907734295557321,False
psk,2,6,0.00263,0.00263,0.0023882907809328066,0.004776581561865613,False
psk,2,7,0.00077,0.00077,0.0007726748153784444,0.001545349630756889,False
psk,2,8,0.00019,0.00019,0.00019090777407599314,0.0003818155481519863,False
psk,2,9,8e-05,8e-05,3.362722841961759e-05,6.725445683923519e-05,False
psk,2,10,0.0,0.0,3.872108215522049e-06,7.744216431044098e-06,False
psk,4,0,0.07909,0.1511,0.07864960352514258,0.15729920705028522,False
psk,4,1,0.05655,0.1101,0.05628195197654147,0.11256390395308294,False
psk,4,2,0.03703,0.07256,0.03750612835892598,0.07501225671785201,False
psk,4,3,0.02319,0.0458,0.022878407561085334,0.04575681512217067,False
psk,4,4,0.01267,0.02518,0.012500818040737566,0.025001636081475133,False
psk,4,5,0.00594,0.01184,0.005953867147778661,0.011907734295557333,False
psk,4,6,0.00215,0.0043,0.0023882907809328066,0.004776581561865619,False
psk,4,7,0.00078,0.00156,0.0007726748153784444,0.0015453496307568915,False
psk,4,8,0.00028,0.00056,0.00019090777407599314,0.0003818155481519871,False
psk,4,9,5e-05,0.0001,3.362722841961759e-05,6.725445683923519e-05,False
psk,4,10,0.0,0.0,3.872108215522049e-06,7.744216431044098e-06,False
psk,8,0,0.12242,0.3461734617346173,0.1161878553326204,0.3485635659978612,False
psk,8,1,0.09903,0.2871928719287193,0.09763706378539523,0.2929111913561857,False
psk,8,2,0.08115,0.23943239432394323,0.07932141777736901,0.23796425333210702,False
psk,8,3,0.06176,0.1838418384183842,0.0618251345896678,0.1854754037690034,False
psk,8,4,0.04612,0.13806138061380613,0.045790942734672414,0.13737282820401725,False
psk,8,5,0.03098,0.0928809288092881,0.03184330336407077,0.0955299100922123,False
psk,8,6,0.02045,0.06135061350613506,0.020479923891202897,0.061439771673608694,False
